id,name,url,test_type,duration_mins,skills,description
1,Automata Fix New,https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,K,30,General Skills,Technical skills assessment measuring knowledge and proficiency in Automata Fix New
2,Core Java Entry Level New,https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,K,20,Java,Technical skills assessment measuring knowledge and proficiency in Core Java Entry Level New
3,Java 8 New,https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,K,35,Java,Technical skills assessment measuring knowledge and proficiency in Java 8 New
4,Core Java Advanced Level New,https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,K,60,Java,Technical skills assessment measuring knowledge and proficiency in Core Java Advanced Level New
5,Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,P,30,"Communication, Interpersonal Skills",Personality and behavioral assessment evaluating traits for Interpersonal Communications
6,Entry Level Sales 7 1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,B,20,Sales,Situational judgment test assessing decision-making for Entry Level Sales 7 1
7,Entry Level Sales Sift Out 7 1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,B,20,Sales,Situational judgment test assessing decision-making for Entry Level Sales Sift Out 7 1
8,Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,B,20,Sales,Situational judgment test assessing decision-making for Entry Level Sales Solution
9,Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,B,30,Sales,Situational judgment test assessing decision-making for Sales Representative Solution
10,Business Communication Adaptive,https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,P,40,Communication,Personality and behavioral assessment evaluating traits for Business Communication Adaptive
11,Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,K,30,Sales,Technical skills assessment measuring knowledge and proficiency in Technical Sales Associate Solution
12,Svar Spoken English Indian Accent New,https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,K,30,English,Technical skills assessment measuring knowledge and proficiency in Svar Spoken English Indian Accent New
13,English Comprehension New,https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,K,30,English,Technical skills assessment measuring knowledge and proficiency in English Comprehension New
14,Enterprise Leadership Report,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,P,30,Leadership,Personality and behavioral assessment evaluating traits for Enterprise Leadership Report
15,Occupational Personality Questionnaire Opq32R,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,P,35,General Skills,Personality and behavioral assessment evaluating traits for Occupational Personality Questionnaire Opq32R
16,Opq Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/,P,35,Leadership,Personality and behavioral assessment evaluating traits for Opq Leadership Report
17,Opq Team Types And Leadership Styles Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report,P,35,Leadership,Personality and behavioral assessment evaluating traits for Opq Team Types And Leadership Styles Report
18,Enterprise Leadership Report 2 0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,P,30,Leadership,Personality and behavioral assessment evaluating traits for Enterprise Leadership Report 2 0
19,Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,K,30,General Skills,Technical skills assessment measuring knowledge and proficiency in Global Skills Assessment
20,Verify Verbal Ability Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,A,30,General Skills,Cognitive ability test measuring reasoning and problem-solving for Verify Verbal Ability Next Generation
21,Shl Verify Interactive Inductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,A,30,General Skills,Cognitive ability test measuring reasoning and problem-solving for Shl Verify Interactive Inductive Reasoning
22,Marketing New,https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,K,30,General Skills,Technical skills assessment measuring knowledge and proficiency in Marketing New
23,English Comprehension New,https://www.shl.com/products/product-catalog/view/english-comprehension-new/,K,30,English,Technical skills assessment measuring knowledge and proficiency in English Comprehension New
24,Drupal New,https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,K,30,Drupal,Technical skills assessment measuring knowledge and proficiency in Drupal New
25,Written English V1,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,K,30,English,Technical skills assessment measuring knowledge and proficiency in Written English V1
